id,created_at,number of likes,number of re,text
1120846928466595841,2019-04-24 00:28:26,1,0,@InterstellarJ Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1120829010009821184,2019-04-23 23:17:14,3,0,@flightcrew747 Thank you for sharing this with us! We will forward your compliments to the management team so the s… https://t.co/i9JXH9lZsh
1120822957700517890,2019-04-23 22:53:11,2,0,"@GoodmanDefender We're disappointed to hear this. Please DM us with the exact location of your visit, along with yo… https://t.co/wWcAvagXfc"
1120804887430823937,2019-04-23 21:41:23,3,0,"@FunkoJunky We'll be waiting! If you have our app, DM us your email so we can send you some offers to use on your next visit with us 😎"
1120796126091841540,2019-04-23 21:06:34,2,0,"@jkeetstweets That’s not the quality we expect from our restaurants. Can you DM us with the address of your visit,… https://t.co/qwavQrN8MM"
1120795919350411264,2019-04-23 21:05:45,15,1,@OHLBattalion @SebJackson90 get that 4 for $4
1120794946167087104,2019-04-23 21:01:53,56,5,@Allthingsbloggy @DennysDiner @MoonPie write better jokes then
1120792753905000450,2019-04-23 20:53:10,2,0,@Adam48170341 This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.
1120791646587760640,2019-04-23 20:48:46,10,0,@lifeovmeme ayyyyeeee
1120787847093604352,2019-04-23 20:33:40,4,0,@yourcruisegurl Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1120784260439379968,2019-04-23 20:19:25,1,0,@iluvthisgame That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!
1120773049714905089,2019-04-23 19:34:52,239,1,@rseuss truth
1120765961789952006,2019-04-23 19:06:42,26,3,@FruitGoofy @IGN HOW INTERESTING! PLEASE TELL US MORE ABOUT WHAT IT IS LIKE LIVING IN ELYSIUM
1120761757830733835,2019-04-23 18:50:00,21,0,@AmIJGabriel A true animal
1120734226599559171,2019-04-23 17:00:36,5,0,"@Chickendip4 Yeah, I've been tweeting for this account for years before that. Must just not go back enough"
1120732529064062976,2019-04-23 16:53:51,4,0,@Chickendip4 Not even close to the first one ever.
1120728766534307840,2019-04-23 16:38:54,41,0,@JeanieD2468 relatable
1120723437620748289,2019-04-23 16:17:44,1,0,@freynay We're sorry to hear that! Please DM us your phone # so we can look into this further. Thanks!
1120709405689954307,2019-04-23 15:21:58,27,0,@BlenGloffle https://t.co/njmzlgGJ5z
1120707881563754497,2019-04-23 15:15:55,3,0,"@Ginfingin603 Hi! Currently, we are not open in the UK, but we do have restaurants around the world! You can see wh… https://t.co/bwDHEjG54z"
1120706407991586817,2019-04-23 15:10:04,2,0,"@tracXraordinary Sorry to see this! Please DM us with your number or email, and we'll make it up to you."
1120693533000830978,2019-04-23 14:18:54,22,0,@dennisswkim @madisoncather We don't. That would be a disaster
1120663670986616833,2019-04-23 12:20:14,6,0,"@joqueeem That's not okay. Please DM us the address of the location you visited, along with your phone number, and we'll make it up to you."
1120663125227909121,2019-04-23 12:18:04,4,0,"@fairyqueenivory Oh no! Please DM us with info on this location, along with your number, and we'll make it up to you."
1120662157153247233,2019-04-23 12:14:13,3,0,"@skoopa_doopa We’d love to make this right. DM us with info on this location, along with your number, and we'll make it up to you."
1120576965768032257,2019-04-23 06:35:42,3,0,"@jerii55 This isn’t the quality we expect. Please DM us with info on this location, along with your number, and we'll make it up to you."
1120576792526565376,2019-04-23 06:35:01,2,0,@BrooksOneLove We're disappointed to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
1120567190841905152,2019-04-23 05:56:52,3,0,@Spriggsy__ That doesn't look right! Please DM us the restaurant location and your phone # so we can make this right. Thanks!
